 node, mean, sd, MC error,2.50%,median,97.50%,start,sample
M.pos[42],0.8522,0.3549,0.002481,0,1,1,1001,22000
M.pos[43],0.366,0.4817,0.003432,0,0,1,1001,22000
M.pos[44],0.984,0.1255,8.91E-04,1,1,1,1001,22000
M.pos[45],0.4592,0.4983,0.003652,0,0,1,1001,22000
M.pos[46],0.3068,0.4612,0.003476,0,0,1,1001,22000
M.pos[47],0.9594,0.1973,0.001308,0,1,1,1001,22000
M.pos[48],0.5,0.5,0.003533,0,1,1,1001,22000
M.pos[49],0.5315,0.499,0.003552,0,1,1,1001,22000
M.pos[50],0.3386,0.4732,0.003449,0,0,1,1001,22000
M.pos[51],0.4427,0.4967,0.003622,0,0,1,1001,22000
M.pos[52],0.3677,0.4822,0.003401,0,0,1,1001,22000
M.pos[53],0.3461,0.4757,0.003467,0,0,1,1001,22000
M.pos[54],0.4591,0.4983,0.00343,0,0,1,1001,22000
M.pos[55],0.8118,0.3909,0.003056,0,1,1,1001,22000
M.pos[56],0.4208,0.4937,0.003221,0,0,1,1001,22000
M.pos[57],0.4025,0.4904,0.003138,0,0,1,1001,22000
M.pos[58],0.4428,0.4967,0.003747,0,0,1,1001,22000
M.pos[59],0.6147,0.4867,0.003294,0,1,1,1001,22000
M.pos[60],0.4248,0.4943,0.003399,0,0,1,1001,22000
M.pos[61],0.5704,0.495,0.003867,0,1,1,1001,22000
M.pos[62],0.3557,0.4787,0.003335,0,0,1,1001,22000
M.pos[63],0.8352,0.371,0.002763,0,1,1,1001,22000
M.pos[64],0.7058,0.4557,0.003568,0,1,1,1001,22000
M.pos[65],0.359,0.4797,0.003212,0,0,1,1001,22000
M.pos[66],0.4926,0.4999,0.003649,0,0,1,1001,22000
M.pos[67],0.346,0.4757,0.003422,0,0,1,1001,22000
M.pos[68],0.439,0.4963,0.00331,0,0,1,1001,22000
M.pos[69],0.4764,0.4994,0.003686,0,0,1,1001,22000
M.pos[70],0.4306,0.4952,0.003536,0,0,1,1001,22000
M.pos[71],0.4088,0.4916,0.003492,0,0,1,1001,22000
M.pos[72],0.4124,0.4923,0.00338,0,0,1,1001,22000
M.pos[73],0.7134,0.4522,0.003337,0,1,1,1001,22000
M.pos[74],0.7615,0.4262,0.003151,0,1,1,1001,22000
M.pos[75],0.3276,0.4694,0.003389,0,0,1,1001,22000
M.pos[76],0.567,0.4955,0.003882,0,1,1,1001,22000
M.pos[77],0.3924,0.4883,0.003038,0,0,1,1001,22000
M.pos[78],0.7271,0.4455,0.003475,0,1,1,1001,22000
M.pos[79],0.3831,0.4861,0.003362,0,0,1,1001,22000
M.pos[80],0.4877,0.4998,0.003545,0,0,1,1001,22000
M.pos[81],0.7103,0.4536,0.00339,0,1,1,1001,22000
M.pos[82],0.3738,0.4838,0.003382,0,0,1,1001,22000
M.pos[83],0.3624,0.4807,0.003518,0,0,1,1001,22000
M.pos[84],0.434,0.4956,0.003274,0,0,1,1001,22000
M.pos[85],0.8436,0.3632,0.002541,0,1,1,1001,22000
M.pos[86],0.731,0.4434,0.003106,0,1,1,1001,22000
M.pos[87],0.3694,0.4826,0.003515,0,0,1,1001,22000
M.pos[88],0.7732,0.4187,0.003219,0,1,1,1001,22000
M.pos[89],0.5379,0.4986,0.003513,0,1,1,1001,22000
M.pos[90],0.6029,0.4893,0.003922,0,1,1,1001,22000
M.pos[91],0.3828,0.4861,0.003428,0,0,1,1001,22000
M.pos[92],0.3399,0.4737,0.003646,0,0,1,1001,22000
M.pos[93],0.7686,0.4217,0.003209,0,1,1,1001,22000
M.pos[94],0.8486,0.3584,0.002494,0,1,1,1001,22000
M.pos[95],0.4512,0.4976,0.003442,0,0,1,1001,22000
M.pos[96],0.9024,0.2968,0.001946,0,1,1,1001,22000
M.pos[97],0.398,0.4895,0.003082,0,0,1,1001,22000
M.pos[98],0.8941,0.3077,0.002179,0,1,1,1001,22000
M.pos[99],0.3803,0.4855,0.003471,0,0,1,1001,22000
M.pos[100],0.3985,0.4896,0.003274,0,0,1,1001,22000
M.pos[101],0.9754,0.155,0.00113,1,1,1,1001,22000
M.pos[102],0.8425,0.3642,0.002776,0,1,1,1001,22000
M.pos[103],0.3323,0.471,0.003434,0,0,1,1001,22000
M.pos[104],0.8499,0.3572,0.002752,0,1,1,1001,22000
M.pos[105],0.9249,0.2635,0.001957,0,1,1,1001,22000
M.pos[106],0.5804,0.4935,0.003794,0,1,1,1001,22000
M.pos[107],0.5237,0.4994,0.003603,0,1,1,1001,22000
M.pos[108],0.434,0.4956,0.003459,0,0,1,1001,22000
M.pos[109],0.5415,0.4983,0.003775,0,1,1,1001,22000
M.pos[110],0.3197,0.4664,0.003718,0,0,1,1001,22000
M.pos[111],0.3692,0.4826,0.003368,0,0,1,1001,22000
M.pos[112],0.4324,0.4954,0.00358,0,0,1,1001,22000
M.pos[113],0.604,0.4891,0.003915,0,1,1,1001,22000
M.pos[114],0.6698,0.4703,0.00372,0,1,1,1001,22000
M.pos[115],0.5147,0.4998,0.00354,0,1,1,1001,22000
